Date;Day;Planned TSS;Actual TSS
9-9-2019;Mon;40;27
10-9-2019;Tue;50;46
11-9-2019;Wed;0;0
12-9-2019;Thu;0;55
13-9-2019;Fri;0;0
14-9-2019;Sat;40;67
15-9-2019;Sun;40;0
16-9-2019;Mon;30;60
17-9-2019;Tue;60;20
18-9-2019;Wed;30;90
19-9-2019;Thu;0;0
20-9-2019;Fri;30;0
21-9-2019;Sat;60;15
22-9-2019;Sun;50;75
23-9-2019;Mon;30;20
24-9-2019;Tue;60;59
25-9-2019;Wed;60;20
26-9-2019;Thu;0;0
27-9-2019;Fri;30;90
28-9-2019;Sat;50;30
29-9-2019;Sun;80;63
30-9-2019;Mon;30;30
1-10-2019;Tue;70;78
2-10-2019;Wed;30;0
3-10-2019;Thu;0;88
4-10-2019;Fri;30;0
5-10-2019;Sat;90;30
6-10-2019;Sun;90;55
7-10-2019;Mon;20;43
8-10-2019;Tue;20;51
9-10-2019;Wed;40;74
10-10-2019;Thu;0;0
11-10-2019;Fri;20;0
12-10-2019;Sat;36;86
13-10-2019;Sun;30;0
14-10-2019;Mon;30;60
15-10-2019;Tue;70;0
16-10-2019;Wed;30;90
17-10-2019;Thu;0;0
18-10-2019;Fri;30;0
19-10-2019;Sat;60;0
20-10-2019;Sun;56;0
21-10-2019;Mon;30;0
22-10-2019;Tue;70;0
23-10-2019;Wed;30;0
24-10-2019;Thu;0;0
25-10-2019;Fri;30;0
26-10-2019;Sat;76;0
27-10-2019;Sun;80;0
28-10-2019;Mon;30;0
29-10-2019;Tue;70;0
30-10-2019;Wed;50;0
31-10-2019;Thu;0;0
1-11-2019;Fri;30;0
2-11-2019;Sat;98;0
3-11-2019;Sun;98;0
4-11-2019;Mon;30;0
5-11-2019;Tue;20;0
6-11-2019;Wed;30;0
7-11-2019;Thu;0;0
8-11-2019;Fri;30;0
9-11-2019;Sat;37;0
10-11-2019;Sun;35;0
11-11-2019;Mon;40;0
12-11-2019;Tue;70;0
13-11-2019;Wed;40;0
14-11-2019;Thu;0;0
15-11-2019;Fri;40;0
16-11-2019;Sat;50;0
17-11-2019;Sun;52;0
18-11-2019;Mon;40;0
19-11-2019;Tue;70;0
20-11-2019;Wed;50;0
21-11-2019;Thu;0;0
22-11-2019;Fri;40;0
23-11-2019;Sat;70;0
24-11-2019;Sun;72;0
25-11-2019;Mon;40;0
26-11-2019;Tue;70;0
27-11-2019;Wed;62;0
28-11-2019;Thu;0;0
29-11-2019;Fri;40;0
30-11-2019;Sat;90;0
1-12-2019;Sun;90;0
2-12-2019;Mon;30;0
3-12-2019;Tue;40;0
4-12-2019;Wed;0;0
5-12-2019;Thu;0;0
6-12-2019;Fri;30;0
7-12-2019;Sat;50;0
8-12-2019;Sun;48;0
9-12-2019;Mon;0;0
10-12-2019;Tue;70;0
11-12-2019;Wed;54;0
12-12-2019;Thu;0;0
13-12-2019;Fri;40;0
14-12-2019;Sat;64;0
15-12-2019;Sun;70;0
16-12-2019;Mon;40;0
17-12-2019;Tue;70;0
18-12-2019;Wed;58;0
19-12-2019;Thu;0;0
20-12-2019;Fri;40;0
21-12-2019;Sat;80;0
22-12-2019;Sun;70;0
23-12-2019;Mon;50;0
24-12-2019;Tue;70;0
25-12-2019;Wed;58;0
26-12-2019;Thu;0;0
27-12-2019;Fri;40;0
28-12-2019;Sat;110;0
29-12-2019;Sun;80;0
30-12-2019;Mon;24;0
31-12-2019;Tue;50;0
1-1-2020;Wed;30;0
2-1-2020;Thu;0;0
3-1-2020;Fri;30;0
4-1-2020;Sat;40;0
5-1-2020;Sun;40;0
6-1-2020;Mon;40;0
7-1-2020;Tue;70;0
8-1-2020;Wed;44;0
9-1-2020;Thu;0;0
10-1-2020;Fri;40;0
11-1-2020;Sat;70;0
12-1-2020;Sun;60;0
13-1-2020;Mon;44;0
14-1-2020;Tue;70;0
15-1-2020;Wed;60;0
16-1-2020;Thu;0;0
17-1-2020;Fri;40;0
18-1-2020;Sat;90;0
19-1-2020;Sun;70;0
20-1-2020;Mon;54;0
21-1-2020;Tue;70;0
22-1-2020;Wed;70;0
23-1-2020;Thu;0;0
24-1-2020;Fri;40;0
25-1-2020;Sat;110;0
26-1-2020;Sun;80;0
27-1-2020;Mon;30;0
28-1-2020;Tue;40;0
29-1-2020;Wed;30;0
30-1-2020;Thu;0;0
31-1-2020;Fri;20;0
1-2-2020;Sat;50;0
2-2-2020;Sun;40;0
3-2-2020;Mon;0;0
4-2-2020;Tue;70;0
5-2-2020;Wed;55;0
6-2-2020;Thu;0;0
7-2-2020;Fri;40;0
8-2-2020;Sat;70;0
9-2-2020;Sun;50;0
10-2-2020;Mon;35;0
11-2-2020;Tue;70;0
12-2-2020;Wed;55;0
13-2-2020;Thu;0;0
14-2-2020;Fri;50;0
15-2-2020;Sat;70;0
16-2-2020;Sun;60;0
17-2-2020;Mon;40;0
18-2-2020;Tue;70;0
19-2-2020;Wed;60;0
20-2-2020;Thu;0;0
21-2-2020;Fri;50;0
