Date;Day;Planned TSS;Actual TSS
2019-09-09;Mon;40;27
2019-09-10;Tue;50;46
2019-09-11;Wed;0;0
2019-09-12;Thu;0;55
2019-09-13;Fri;0;0
2019-09-14;Sat;40;67
2019-09-15;Sun;40;0
2019-09-16;Mon;30;60
2019-09-17;Tue;60;20
2019-09-18;Wed;30;90
2019-09-19;Thu;0;0
2019-09-20;Fri;30;0
2019-09-21;Sat;60;15
2019-09-22;Sun;50;75
2019-09-23;Mon;30;20
2019-09-24;Tue;60;59
2019-09-25;Wed;60;20
2019-09-26;Thu;0;0
2019-09-27;Fri;30;90
2019-09-28;Sat;50;30
2019-09-29;Sun;80;63
2019-09-30;Mon;30;30
2019-10-01;Tue;70;78
2019-10-02;Wed;30;0
2019-10-03;Thu;0;88
2019-10-04;Fri;30;0
2019-10-05;Sat;90;30
2019-10-06;Sun;90;55
2019-10-07;Mon;20;43
2019-10-08;Tue;20;51
2019-10-09;Wed;40;74
2019-10-10;Thu;0;0
2019-10-11;Fri;20;0
2019-10-12;Sat;36;86
2019-10-13;Sun;30;0
2019-10-14;Mon;30;60
2019-10-15;Tue;70;0
2019-10-16;Wed;30;90
2019-10-17;Thu;0;0
2019-10-18;Fri;30;0
2019-10-19;Sat;60;0
2019-10-20;Sun;56;0
2019-10-21;Mon;30;0
2019-10-22;Tue;70;0
2019-10-23;Wed;30;0
2019-10-24;Thu;0;0
2019-10-25;Fri;30;0
2019-10-26;Sat;76;0
2019-10-27;Sun;80;0
2019-10-28;Mon;30;0
2019-10-29;Tue;70;0
2019-10-30;Wed;50;0
2019-10-31;Thu;0;0
2019-11-01;Fri;30;0
2019-11-02;Sat;98;0
2019-11-03;Sun;98;0
2019-11-04;Mon;30;0
2019-11-05;Tue;20;0
2019-11-06;Wed;30;0
2019-11-07;Thu;0;0
2019-11-08;Fri;30;0
2019-11-09;Sat;37;0
2019-11-10;Sun;35;0
2019-11-11;Mon;40;0
2019-11-12;Tue;70;0
2019-11-13;Wed;40;0
2019-11-14;Thu;0;0
2019-11-15;Fri;40;0
2019-11-16;Sat;50;0
2019-11-17;Sun;52;0
2019-11-18;Mon;40;0
2019-11-19;Tue;70;0
2019-11-20;Wed;50;0
2019-11-21;Thu;0;0
2019-11-22;Fri;40;0
2019-11-23;Sat;70;0
2019-11-24;Sun;72;0
2019-11-25;Mon;40;0
2019-11-26;Tue;70;0
2019-11-27;Wed;62;0
2019-11-28;Thu;0;0
2019-11-29;Fri;40;0
2019-11-30;Sat;90;0
2019-12-01;Sun;90;0
2019-12-02;Mon;30;0
2019-12-03;Tue;40;0
2019-12-04;Wed;0;0
2019-12-05;Thu;0;0
2019-12-06;Fri;30;0
2019-12-07;Sat;50;0
2019-12-08;Sun;48;0
2019-12-09;Mon;0;0
2019-12-10;Tue;70;0
2019-12-11;Wed;54;0
2019-12-12;Thu;0;0
2019-12-13;Fri;40;0
2019-12-14;Sat;64;0
2019-12-15;Sun;70;0
2019-12-16;Mon;40;0
2019-12-17;Tue;70;0
2019-12-18;Wed;58;0
2019-12-19;Thu;0;0
2019-12-20;Fri;40;0
2019-12-21;Sat;80;0
2019-12-22;Sun;70;0
2019-12-23;Mon;50;0
2019-12-24;Tue;70;0
2019-12-25;Wed;58;0
2019-12-26;Thu;0;0
2019-12-27;Fri;40;0
2019-12-28;Sat;110;0
2019-12-29;Sun;80;0
2019-12-30;Mon;24;0
2019-12-31;Tue;50;0
2020-01-01;Wed;30;0
2020-01-02;Thu;0;0
2020-01-03;Fri;30;0
2020-01-04;Sat;40;0
2020-01-05;Sun;40;0
2020-01-06;Mon;40;0
2020-01-07;Tue;70;0
2020-01-08;Wed;44;0
