Datetime;TD;T;T cooled;waterRemoved;Mix ratio
2012-01-01 00:00:00;10.0;10.0;1.5;0.00016848689582869662;0.00864898137045205
2012-01-01 01:00:00;10.0;10.0;1.5999999999999996;0.00016848689582869662;0.00864898137045205
2012-01-01 02:00:00;10.0;10.0;1.1999999999999993;0.0002252858797385706;0.00864898137045205
2012-01-01 03:00:00;10.0;10.0;1.3000000000000007;0.0002824057606169092;0.00864898137045205
2012-01-01 04:00:00;10.0;10.0;1.4000000000000004;0.00045570623011182733;0.00864898137045205
2012-01-01 05:00:00;10.0;10.0;1.6999999999999993;0.0005728727820393312;0.00864898137045205
2012-01-01 06:00:00;10.0;10.0;1.9000000000000004;0.0006319506262370839;0.00864898137045205
2012-01-01 07:00:00;10.0;10.0;2.0;0.0007511033391662675;0.00864898137045205
2012-01-01 08:00:00;10.0;10.0;2.0999999999999996;0.0006913602840513192;0.00864898137045205
2012-01-01 09:00:00;10.0;10.0;2.1999999999999993;0.0006913602840513192;0.00864898137045205
2012-01-01 10:00:00;10.0;10.0;2.3000000000000007;0.0006913602840513192;0.00864898137045205
2012-01-01 11:00:00;10.0;10.0;2.3000000000000007;0.0007511033391662675;0.00864898137045205
2012-01-01 12:00:00;10.0;10.0;2.4000000000000004;0.0008715960065080082;0.00864898137045205
2012-01-01 13:00:00;10.0;10.0;2.6999999999999993;0.0009934414198650883;0.00864898137045205
2012-01-01 14:00:00;10.0;10.0;2.6999999999999993;0.0008715960065080082;0.00864898137045205
2012-01-01 15:00:00;10.0;10.0;2.5;0.0008111813813572923;0.00864898137045205
2012-01-01 16:00:00;10.0;10.0;2.5;0.0009934414198650883;0.00864898137045205
2012-01-01 17:00:00;10.0;10.0;2.6999999999999993;0.0009323488166270762;0.00864898137045205
2012-01-01 18:00:00;10.0;10.0;2.8000000000000007;0.0008111813813572923;0.00864898137045205
2012-01-01 19:00:00;10.0;10.0;3.3000000000000007;0.0007511033391662675;0.00864898137045205
2012-01-01 20:00:00;10.0;10.0;3.4000000000000004;0.0008111813813572923;0.00864898137045205
2012-01-01 21:00:00;9.7;10.0;0.3000000000000007;0.0;0.008483327622716242
2012-01-01 22:00:00;9.7;10.0;0.3000000000000007;0.0;0.008483327622716242
2012-01-01 23:00:00;9.1;10.0;0.09999999999999964;0.0;0.008160357392184748
